Date,Nombre de combinaisons,Temps de calcul (secondes)
"('Mar', 3, 'Thur')",1,0.155
"('Mar', 11, 'Fri')",1,0.105
"('Jan', 23, 'Tues')",2,0.291
"('May', 4, 'Thur')",0,0.046
"('Jan', 10, 'Sun')",1,0.198
"('Oct', 8, 'Fri')",1,0.077
"('Mar', 1, 'Mon')",0,0.037
"('Jun', 5, 'Sun')",1,0.245
"('Nov', 26, 'Mon')",0,0.596
"('Mar', 16, 'Tues')",1,0.15
"('Jul', 4, 'Tues')",3,0.213
"('Feb', 5, 'Mon')",0,0.124
"('Sep', 7, 'Sat')",1,0.274
"('Jul', 25, 'Wed')",1,0.29
"('May', 2, 'Wed')",0,0.058
"('Feb', 9, 'Sun')",1,0.229
"('Oct', 19, 'Sun')",0,0.127
"('Sep', 13, 'Fri')",2,0.258
"('Apr', 11, 'Sun')",0,0.16
"('May', 31, 'Tues')",4,0.139
"('Apr', 29, 'Thur')",10,0.356
"('May', 4, 'Sun')",0,0.041
"('Feb', 8, 'Wed')",2,0.251
"('Sep', 18, 'Tues')",1,0.279
"('Nov', 7, 'Tues')",2,0.745
"('Apr', 23, 'Mon')",1,0.264
"('Aug', 6, 'Tues')",0,0.062
"('Aug', 26, 'Thur')",1,0.629
"('Mar', 3, 'Sun')",2,0.178
"('Sep', 27, 'Mon')",0,0.493
"('Sep', 30, 'Tues')",1,0.491
